file,scenario,projections,used,K,final_iteration_header,final_iter_line_iter,cost_before,cost_after,ddelta,lambda,dSx,dSy,dSz,offset_x,offset_z,dDx,dDy,dDz,stage_rotY_deg,dOx,dOz,dOy,src_y,det_y,obj_y,src_x,src_z,obj_x,obj_z,det_x,det_z,obj_rotY_deg_after_calib,final_dSx,final_dSy,final_dOx,final_dOy,final_dOz,final_dDx,final_dDy,final_dDz,final_alpha,final_offset_x,final_offset_z,final_estimated_delta_array
run00_u0065002.log,Scan1,1434,360,5,42,42,11721.529793,11724.020724,0.0001702972,1000000.0,0.0,0.0,0.0,0.23,3.668,0.0,0.0,0.0,0.755,0.122,0.161,5.797,24.997,24.997,25.797,0.0,0.0,0.122,615.081,0.0,1099.001,-1.04,0.0,0.0,0.122273,5.797166,0.161287,0.0,0.0,0.0,0.7554729,0.229721,3.668395,"[0.0, 0.0, 0.12227344, 5.79716621, 0.16128723, 0.0, 0.0, 0.0, 0.75547289, 0.22972144, 3.66839453]"
run01_u0065053.log,Scan2,360,360,5,40,40,13384.623604,13389.439058,0.0007789639,1000000.0,0.0,0.0,0.0,0.153,3.672,0.0,0.0,0.0,3.654,0.108,0.218,10.179,29.995,24.987,30.179,5.0,0.0,0.108,615.138,0.0,1099.001,-4.5698,0.0,0.0,0.107902,10.179138,0.218334,0.0,0.0,0.0,3.653516,0.152849,3.671842,"[0.0, 0.0, 0.10790153, 10.17913823, 0.21833428, 0.0, 0.0, 0.0, 3.65351589, 0.15284943, 3.67184194]"
run02_u0065077.log,Scan3,360,360,5,64,64,10127.553587,10130.241779,0.002590258,1000000.0,0.0,0.0,0.0,0.168,3.713,0.0,0.0,0.0,4.535,0.144,1.718,8.239,29.992,24.977,28.239,5.0,0.0,0.144,816.637,0.0,1099.001,-4.5698,0.0,0.0,0.144288,8.238776,1.718401,0.0,0.0,0.0,4.535361,0.168462,3.7128,"[0.0, 0.0, 0.14428842, 8.2387759, 1.71840141, 0.0, 0.0, 0.0, 4.53536138, 0.16846161, 3.71279955]"
run03_u0065080.log,Scan4,360,360,5,44,44,14363.452673,14409.80569,0.00573792,1000000.0,0.0,0.0,0.0,0.243,3.622,0.0,0.0,0.0,3.275,0.126,0.788,30.489,29.997,39.966,50.489,-10.0,0.0,0.126,815.707,5.316,1099.001,-4.5698,0.0,0.0,0.1264,30.489482,0.787962,0.0,0.0,0.0,3.275457,0.24319,3.621677,"[0.0, 0.0, 0.12640008, 30.48948186, 0.78796231, 0.0, 0.0, 0.0, 3.27545713, 0.2431901, 3.62167729]"
run04_u0065081.log,Scan5,360,360,5,45,45,16811.820451,16815.332512,0.00113205,1000000.0,0.0,0.0,0.0,0.331,3.648,0.0,0.0,0.0,4.585,0.106,0.189,28.052,29.997,39.966,48.052,-10.0,0.0,0.106,615.108,5.316,999.001,-4.5698,0.0,0.0,0.10588,28.051867,0.188961,0.0,0.0,0.0,4.584579,0.331276,3.647633,"[0.0, 0.0, 0.10587957, 28.05186697, 0.18896069, 0.0, 0.0, 0.0, 4.58457913, 0.33127584, 3.64763302]"
run05_u0065083.log,Scan6,360,360,5,48,48,16510.009344,16510.690004,0.0007423726,1000000.0,0.0,0.0,0.0,0.212,3.667,0.0,0.0,0.0,4.548,0.124,0.22,27.993,29.997,39.966,47.993,0.0,0.0,0.124,615.139,19.316,999.001,-4.5698,0.0,0.0,0.123679,27.99343,0.220017,0.0,0.0,0.0,4.54805,0.212134,3.667429,"[0.0, 0.0, 0.12367944, 27.99342974, 0.22001737, 0.0, 0.0, 0.0, 4.5480502, 0.21213361, 3.66742859]"
run06_u0065084.log,Scan7,360,360,5,61,61,353101.390199,353142.706365,0.002703456,1000000.0,0.0,0.0,0.0,15.481,12.146,0.0,0.0,0.0,5.666,0.122,-0.221,10.153,29.995,24.987,30.153,5.0,0.0,0.122,614.698,0.0,1099.001,-4.5698,0.0,0.0,0.122409,10.153266,-0.221208,0.0,0.0,0.0,5.666498,15.480942,12.145622,"[0.0, 0.0, 0.12240926, 10.15326562, -0.22120774, 0.0, 0.0, 0.0, 5.66649769, 15.48094245, 12.14562218]"
run07_u0065085.log,Scan8,360,360,5,61,61,113316.60324,113331.343934,0.005598552,1000000.0,0.0,0.0,0.0,15.722,11.997,0.0,0.0,0.0,6.116,0.171,1.11,8.23,29.992,24.977,28.23,5.0,0.0,0.171,816.029,0.0,1099.001,-4.5698,0.0,0.0,0.171151,8.229752,1.110127,0.0,0.0,0.0,6.115764,15.721855,11.997108,"[0.0, 0.0, 0.17115148, 8.22975222, 1.1101271, 0.0, 0.0, 0.0, 6.11576429, 15.72185548, 11.99710792]"
run08_u0065086.log,Scan9,360,360,5,46,46,148104.299807,148171.766287,0.005353243,1000000.0,0.0,0.0,0.0,16.336,11.066,0.0,0.0,0.0,7.121,0.131,0.704,30.45,29.997,39.966,50.45,-10.0,0.0,0.131,815.623,5.316,1099.001,-4.5698,0.0,0.0,0.13072,30.450036,0.704024,0.0,0.0,0.0,7.120546,16.335875,11.065949,"[0.0, 0.0, 0.13071992, 30.45003627, 0.70402446, 0.0, 0.0, 0.0, 7.12054601, 16.33587507, 11.06594891]"
run09_u0065087.log,Scan10,360,360,5,42,42,366575.915686,366597.111291,0.00149012,1000000.0,0.0,0.0,0.0,16.024,11.37,0.0,0.0,0.0,5.656,0.115,0.243,28.006,29.997,39.966,48.006,-10.0,0.0,0.115,615.162,5.316,999.001,-4.5698,0.0,0.0,0.114956,28.006138,0.242821,0.0,0.0,0.0,5.655755,16.024168,11.370265,"[0.0, 0.0, 0.11495565, 28.00613799, 0.24282078, 0.0, 0.0, 0.0, 5.65575544, 16.0241682, 11.37026503]"
run10_u0065089.log,Scan11,360,360,5,58,58,365512.731642,365539.890313,0.004426326,1000000.0,0.0,0.0,0.0,15.604,11.959,0.0,0.0,0.0,5.427,0.13,-0.309,27.929,29.997,39.966,47.929,0.0,0.0,0.13,614.61,19.316,999.001,-4.5698,0.0,0.0,0.129897,27.929375,-0.308867,0.0,0.0,0.0,5.426749,15.603932,11.959222,"[0.0, 0.0, 0.12989687, 27.9293751, -0.3088668, 0.0, 0.0, 0.0, 5.42674929, 15.60393156, 11.95922204]"
